,fuel,p1,p2
0,1486.3647826281485,16.663490441702475,3341.0576415466885
1,1485.5565462678896,16.678839940690448,3235.6436525388694
2,1485.4244024122927,16.65820511650141,3069.7087628504587
3,1486.3824320507301,16.644856671137333,2846.82249083598
4,1485.4802577431037,16.64872621495817,2749.8861277577444
5,1485.1063392690194,16.57627869218454,2538.447151822488
6,1494.2664677429057,16.66861416071643,2448.399600057368
7,1485.027151870272,16.53624424597169,2245.6583464355954
8,1484.837728120714,16.520986653539648,2158.088109836745
9,1484.2398344233807,20.465036900347556,3300.2097392570868
10,1484.0121797207394,20.457527956181508,3159.6159336933547
11,1484.6315998914033,20.384773699460077,2971.5525601643117
12,1484.2935881035446,20.409117769218234,2836.4422083835398
13,1483.983996873685,20.39082072748409,2755.1805200477975
14,1484.2137484624109,20.407207184960992,2625.966102832156
15,1483.9109977563057,20.38036467570517,2499.592872251522
16,1483.4416996203363,20.32014508127206,2375.320759613627
17,1483.444552737441,20.286719168252908,2208.736893941652
18,1484.4359297464507,23.69336040891988,3198.173187244119
19,1483.4720158713535,23.703498143116185,3121.8321293765903
20,1483.3765033923482,23.68674559057646,3000.317265827665
21,1483.1684877665139,23.678765486750446,2880.817595128058
22,1483.2118227608116,23.649498817737687,2763.7124213481266
23,1482.8614780260177,23.635391967359766,2648.5942548819557
24,1482.7683878506214,23.607827355243643,2535.600817075498
25,1483.1544888698481,23.6021841980839,2424.9472251478046
26,1482.4707945805385,23.56166470782334,2316.028550596811
27,1484.6545076828806,26.63272897428503,3215.2994393470653
28,1484.9813891458361,26.644037668315306,3101.9796033879693
29,1484.5054122877227,26.627931510209102,2991.0835798144426
30,1484.6801378518685,26.553864297389758,2841.554377083273
31,1483.880459961947,26.58602139877384,2774.377200486313
32,1483.7042658789433,26.564961636844895,2668.651172234645
33,1483.8870308439255,26.527852916031062,2564.697727485371
34,1483.3809091190633,26.474911356772427,2423.8601665867955
35,1483.350866430108,26.47557427370157,2361.6818646256675
36,1488.07096785658,29.322261919115107,3159.028340885899
37,1488.1545716241526,29.315357574159375,3054.234727180988
38,1486.6700237816076,29.283280797011766,2951.7384150427024
39,1487.0170329038956,29.2563924919033,2850.3143741044637
40,1486.933616897346,29.23660803205072,2749.9893536020513
41,1486.1767746589067,29.2594547744031,2688.0302779891035
42,1486.3278599141086,29.252071119279066,2590.173074103267
43,1486.4412342189244,29.22915728847203,2493.7577865862286
44,1485.5130243941603,29.155388623736773,2363.2339173757955
45,1491.9360414445437,31.89113628664403,3193.1413862401414
46,1491.1079143388197,31.83421130774154,3056.6119212068415
47,1491.44060856312,31.846007939611876,2995.4825955931306
48,1491.3397274034032,31.854802192252162,2897.7582460217895
49,1491.650640981985,31.840901597395384,2801.8394845080693
50,1490.3478290914063,31.806412965883236,2707.4924881775078
51,1490.0569391770987,31.7797572954814,2614.2810087500593
52,1490.2900103900465,31.7625099045887,2522.2594770838123
53,1489.8373725927195,31.730562633991905,2431.596862411542
54,1498.4647474415542,34.27964976318296,3195.6075342657755
55,1498.2505277651871,34.232751324811915,3064.492971351973
56,1497.3760274746746,34.267648706156564,3004.951495237344
57,1497.7276392591848,34.204681011138966,2877.01474326658
58,1496.8546139069185,34.23865580954253,2819.085787634028
59,1497.3326695132637,34.192600306827664,2693.4176594683304
60,1496.9189737234228,34.1777061900529,2638.2186835982952
61,1495.9447367914108,34.13081773592222,2515.7886210551724
62,1496.1164185335947,34.08842300128993,2428.82787873203
63,1506.852723944874,36.57986282211422,3167.9621011161435
64,1507.375512308823,36.613645616772935,3109.972689919605
65,1506.3075487545502,36.55705004750911,2984.253796872013
66,1506.2257335750546,36.56295055832524,2928.2165684975553
67,1505.6816051169226,36.55370832889201,2838.362170243281
68,1505.5770590975371,36.523373799379655,2749.9265640832855
69,1505.3322109599467,36.49807034529895,2662.4438167712906
70,1505.090692643127,36.4319740404636,2543.6016109419415
71,1504.9107772230454,36.401778142678964,2458.5111313839834
72,1519.8978367501404,38.827409179266645,3181.8336107758996
73,1518.6249811081689,38.80995287146432,3092.0790445162984
74,1518.0567549291154,38.79303025706205,3002.9610500669787
75,1518.5089102330676,38.797956698905,2948.1704830773633
76,1518.061084186189,38.74020019098223,2827.9240402284736
77,1516.9635670554708,38.73088424323137,2740.9880851912203
78,1516.7632406496887,38.701682355625636,2655.6552999224655
79,1516.2948530818467,38.678343013468755,2571.0254324290972
80,1516.2006607701587,38.685787934832966,2518.8403121765423
81,1535.0172641499885,40.97382665313707,3202.77844248367
82,1533.934520287512,40.97715833302768,3113.4443795503566
83,1533.9289878345044,40.95574946272135,3026.0092690006313
84,1533.9773502271928,40.93573584216358,2939.125460144586
85,1533.5964724708501,40.941749452568025,2851.984065757265
