,fuel,p1, p2,efpa,eazi,x,y,z,vx,vz,r,lon,lat,v,fpa,azi,m
0,1304.550787,18.92864776,3114.818994,-16.5,-0.5,14007.15176,536.5872498,3848.666667,-506.9375736,-164.5838065,3400848.667,0.201981962,-0.000602355,532.9854903,-0.313926944,0.108208598,7200
1,1304.156605,18.96138136,2945.701576,-16.5,-0.25,14013.73097,535.7968822,3854.821419,-506.9560316,-164.4953169,3400854.821,0.201944645,-0.000269564,532.9757286,-0.313758335,0.103557323,7200
2,1303.981421,18.93584598,2695.316368,-16.5,0,14010.15199,537.6324215,3851.633874,-506.7727503,-164.5122132,3400851.634,0.201943086,-0.0002265,532.8066148,-0.313894667,0.093261454,7200
3,1335.918987,19.73152629,2421.283374,-16.5,0.25,13650.08709,230.8212906,3040.623397,-485.7090779,-167.3967735,3400040.623,0.202055558,-0.000286643,513.7460346,-0.331895481,0.088293223,7200
4,1378.374016,20.42241359,2240.619487,-16.5,0.5,16679.83071,713.4691677,3465.381646,-494.7775196,-164.4056652,3400465.382,0.201152809,-0.000179781,521.3770388,-0.320804059,0.079336854,7200
5,1284.323328,22.53302684,3147.623494,-16.39230769,-0.5,12024.60567,777.5655447,3049.789246,-486.2471955,-165.3740354,3400049.789,0.202526334,-0.000257038,513.5999481,-0.327830657,0.137100932,7200
6,1285.472352,22.43890878,2812.627581,-16.39230769,-0.25,12019.91336,774.1482357,3043.068249,-486.0139213,-165.5020873,3400043.068,0.202578048,-0.000647355,513.4203664,-0.32821308,0.119285848,7200
7,1309.526053,22.30951762,2683.158537,-16.39230769,0,11707.49886,379.5689978,3087.755659,-487.2171905,-165.4455493,3400087.756,0.202627292,-0.000279563,514.5413691,-0.327355236,0.113572692,7200
8,1312.396665,21.17960439,2545.631959,-16.39230769,0.25,11983.83511,1118.524072,4176.513559,-515.7615616,-161.3139723,3401176.514,0.202521082,-8.59E-06,540.4000241,-0.303129466,0.095492065,7200
10,1280.185141,25.45115018,3007.218727,-16.28461538,-0.5,12017.4031,774.6416996,3041.587332,-485.4547082,-162.5894521,3400041.587,0.202596636,-0.000736993,511.9585957,-0.323179654,0.145052361,7200
11,1329.364308,24.73778477,2908.044526,-16.28461538,-0.25,13285.77519,291.8808759,4187.613172,-515.3674072,-157.12257,3401187.613,0.202174709,-0.000419062,538.7866613,-0.295923128,0.129294088,7200
12,1292.606858,25.31130183,2706.072003,-16.28461538,0,14001.80983,539.4761667,3848.368666,-505.6948884,-158.1141971,3400848.369,0.201954294,-0.000351391,529.8371632,-0.303037172,0.123801318,7200
13,1292.314057,25.21169663,2449.648178,-16.28461538,0.25,14011.24146,536.5390484,3858.810829,-505.8394089,-158.1405452,3400858.811,0.20197961,-0.000594597,529.9829616,-0.303003246,0.106280713,7200
14,1277.030353,25.39210987,2338.947414,-16.28461538,0.5,12025.06465,777.6926295,3051.646124,-485.1524402,-162.4419618,3400051.646,0.202520175,-0.000153056,511.6251374,-0.323093928,0.107743253,7200
15,1304.112786,27.20903608,3163.792261,-16.17692308,-0.5,11984.75294,1121.072275,4169.264182,-515.8684644,-154.374299,3401169.264,0.202527839,-0.000224303,538.4716304,-0.290769755,0.156613239,7200
16,1254.766126,28.57224944,2947.58802,-16.17692308,-0.25,12983.77811,1709.91303,3067.474257,-485.3246864,-158.5333937,3400067.474,0.202210859,-0.000118399,510.5613461,-0.315727425,0.161659575,7200
17,1303.794706,27.05101376,2640.199673,-16.17692308,0,11985.00715,1120.41429,4163.933895,-515.4102484,-154.5987846,3401163.934,0.202603214,-0.000760354,538.097118,-0.291413558,0.12304426,7200
18,1287.50699,27.99997337,2538.02015,-16.17692308,0.25,14014.09719,534.4732626,3864.077006,-506.2023297,-154.4926729,3400864.077,0.201951241,-0.000357403,529.2530439,-0.29622008,0.124799127,7200
19,1300.276818,28.00132274,2351.664891,-16.17692308,0.5,11705.41908,385.0750244,3069.978901,-485.5287741,-159.4160588,3400069.979,0.202629021,-0.000293566,511.0300092,-0.317245271,0.118137358,7200
