"Altitude(Density Variation), created by Plot Digitizer, 2.6.9"
"Date: 5/21/21, 4:55:59 PM"


16
Density Variation,Altitude
24.8495,78.9612,
18.5303,74.8622,
17.3733,69.9182,
20.8044,63.8565,
25.0047,59.9912,
30.3547,57.2210,
26.7140,53.6613,
17.3310,47.6500,
14.2647,44.3630,
12.5366,40.7958,
12.1389,32.8247,
10.7912,28.1564,
10.9715,22.3824,
6.17758,15.8032,
6.35002,5.90545,
12.6505,0.107413,
